UTC;command
2025-05-29 19:54:53.671126+00:00;-1
2025-05-29 19:55:55.815442+00:00;-1
2025-05-29 19:57:03.198622+00:00;0
2025-05-29 19:57:03.198622+00:00;0
2025-05-29 19:58:05.489227+00:00;0
2025-05-29 19:59:07.638327+00:00;0
2025-05-29 20:00:09.857043+00:00;0
2025-05-29 20:01:12.125024+00:00;0
2025-05-29 20:02:14.388439+00:00;-2
2025-05-29 20:03:16.640887+00:00;-1
2025-05-29 20:04:18.881720+00:00;0
2025-05-29 20:05:21.251312+00:00;0
2025-05-29 20:06:23.380716+00:00;0
2025-05-29 20:07:25.595107+00:00;0
2025-05-29 20:08:27.891929+00:00;0
2025-05-29 20:09:30.112555+00:00;0
2025-05-29 20:10:32.343264+00:00;0
2025-05-29 20:11:34.577100+00:00;2
2025-05-29 20:12:36.802545+00:00;0
2025-05-29 20:13:39.035142+00:00;0
2025-05-29 20:14:41.317010+00:00;2
2025-05-29 20:15:43.475768+00:00;0
2025-05-29 20:16:45.642279+00:00;0
2025-05-29 20:17:47.971940+00:00;0
2025-05-29 20:18:50.221528+00:00;2
2025-05-29 20:19:52.475503+00:00;2
2025-05-29 20:20:54.655090+00:00;1
2025-05-29 20:21:56.969610+00:00;0
2025-05-29 20:22:59.157478+00:00;0
2025-05-29 20:24:01.365856+00:00;2
2025-05-29 20:25:03.566445+00:00;1
2025-05-29 20:26:05.780355+00:00;0
2025-05-29 20:27:08.073169+00:00;1
2025-05-29 20:28:10.456174+00:00;1
2025-05-29 20:29:12.711848+00:00;1
2025-05-29 20:30:14.927874+00:00;1
2025-05-29 20:31:17.093438+00:00;1
2025-05-29 20:32:19.425021+00:00;1
2025-05-29 20:33:21.647504+00:00;1
2025-05-29 20:34:23.909260+00:00;1
2025-05-29 20:35:26.119123+00:00;1
2025-05-29 20:36:28.264628+00:00;2
2025-05-29 20:37:30.525633+00:00;0
2025-05-29 20:38:32.717862+00:00;2
2025-05-29 20:39:34.940361+00:00;1
2025-05-29 20:40:37.258902+00:00;0
2025-05-29 20:41:39.488425+00:00;0
2025-05-29 20:42:41.692350+00:00;0
2025-05-29 20:43:43.965849+00:00;0
2025-05-29 20:44:46.212491+00:00;0
2025-05-29 20:45:48.471176+00:00;0
2025-05-29 20:46:50.755132+00:00;0
2025-05-29 20:47:52.952171+00:00;0
2025-05-29 20:48:55.213808+00:00;-2
2025-05-29 20:49:57.503887+00:00;-1
2025-05-30 06:00:19.022632+00:00;0
2025-05-30 06:01:20.953265+00:00;0
2025-05-30 06:02:22.998081+00:00;0
